A6C,Little Bronze-Cuckoo,Chrysococcyx minutillus,,
F6C,Zitting Cisticola,Cisticola juncidis,,
C4C,Intermediate Egret,Ardea intermedia,,
B4D,Black-bellied Plover,Pluvialis squatarola,,
,Bundok Flycatcher,Ficedula luzoniensis,ADD,
H3B,Black-belted Flowerpecker,Dicaeum haematostictum,,TARGET
B2A,Barred Rail,Gallirallus torquatus,,
A5H,Amethyst Brown-Dove,Phapitreron amethystinus,,
A6C,Plaintive Cuckoo,Cacomantis merulinus,,
,Oriental Pratincole,Glareola maldivarum,ADD,
C5E,Pinsker's Hawk-Eagle,Nisaetus pinskeri,,
B4Q,Blue-breasted Quail,Synoicus chinensis,,
A9D,Pacific Swift,Apus pacificus,,
C5F,Gray-faced Buzzard,Butastur indicus,,
,Ashy-breasted Flycatcher,Muscicapa randi,ADD,
,Eurasian Kestrel,Falco tinnunculus,ADD,
B4I,Ruddy Turnstone,Arenaria interpres,,
A6D,Philippine Drongo-Cuckoo,Surniculus velutinus,,
D3A,Coppersmith Barbet,Psilopogon haemacephalus,,
B6E,Little Tern,Sternula albifrons,,
,Fire-breasted Flowerpecker,Dicaeum ignipectus,ADD,
H9B,Paddyfield Pipit,Anthus rufulus,,
A5F,Asian Emerald Dove,Chalcophaps indica,,
C4B,Purple Heron,Ardea purpurea,,
D7C,Blue-naped Parrot,Tanygnathus lucionensis,,
F1A,Long-tailed Shrike,Lanius schach,,
,Caspian Tern,Hydroprogne caspia,ADD,
,Negros Striped-Babbler,Zosterornis nigrorum,ADD,TARGET
B4D,Kentish Plover,Charadrius alexandrinus,,
,Lesser Black-backed Gull,Larus fuscus,ADD,
A5J,Yellow-breasted Fruit-Dove,Ptilinopus occipitalis,,
B6E,White-winged Tern,Chlidonias leucopterus,,
D1B,Indigo-banded Kingfisher,Ceyx cyanopectus,,
B4H,Bar-tailed Godwit,Limosa lapponica,,
C6F,Northern Boobook,Ninox japonica,,
A5A,Rock Pigeon,Columba livia,,
H8B,Eurasian Tree Sparrow,Passer montanus,,
,Mountain Leaf Warbler,Phylloscopus trivirgatus,ADD,
D4A,Philippine Woodpecker,Yungipicus maculatus,,
H4B,Purple-throated Sunbird,Leptocoma sperata,,
F6B,Visayan Tailorbird,Orthotomus castaneiceps,,TARGET
B4D,Greater Sand-Plover,Charadrius leschenaultii,,
,Sunda Thrush,Zoothera andromedae,ADD,
A8A,Savanna Nightjar,Caprimulgus affinis,,
B2D,Plain Bush-hen,Amaurornis olivacea,,
F2A,Large-billed Crow,Corvus macrorhynchos,,
A5I,Pink-necked Green-Pigeon,Treron vernans,,
E2C,Pied Triller,Lalage nigra,,
F9C,Striated Swallow,Cecropis striolata,,
H1K,Blue Rock-Thrush,Monticola solitarius,,
,Rosy Starling,Pastor roseus,ADD,
B4K,Red-necked Stint,Calidris ruficollis,,
A5K,Green Imperial-Pigeon,Ducula aenea,,
C4C,Great Egret,Ardea alba,,
B6D,Sooty Tern,Onychoprion fuscatus,,
A5D,Spotted Dove,Streptopelia chinensis,,
C5E,Philippine Serpent-Eagle,Spilornis holospilus,,
G1A,Yellow-vented Bulbul,Pycnonotus goiavier,,
